section_id,count,distance,latitude,longitude
63,0.0,86.46274155583535,51.976468,5.647274
73,0.0,6412.901218587153,1.144869,36.913688
81,0.0,125.49776469691993,52.580198,5.964585
88,0.0,534.572119425402,51.182274,12.015
153,0.0,13.307927270516771,51.947801,4.2077897
232,0.0,225.26486166624932,51.3533927,1.2869836
230,0.0,1389.0648162953614,56.8836656,24.2615209
229,0.0,1009.7333671989928,49.9150317,18.4425233
218,0.0,1687.2366676476634,36.88156,2.49938
223,0.0,1780.8617112428026,36.7891365,-2.7284246
217,0.0,24.955892000038833,52.1639321,4.6287243
214,0.0,24.905186104416487,52.1641184,4.6272708
201,0.0,1.876863387051225,52.0052384,4.4087702
206,0.0,,,
205,0.0,,,
162,0.0,67.19878515881315,51.4573281,3.9451752
157,0.0,5988.375805822357,43.2182037,-79.1854539
156,0.0,7.687348397601418,52.0119251,4.2755037
195,0.0,2.279455331832954,52.008007,4.412902
190,0.0,20.663123844640474,51.870592,4.1637849
233,0.0,852.4637721313235,44.3331564,4.6964455
303,0.0,14.305382371184967,52.0540133,4.5723017
293,0.0,144.84905466507334,51.413892849999996,6.2650698
301,0.0,374.3220243130151,50.89395,-0.71957
276,0.0,5.469327224959376,52.0218537,4.4537909
237,0.0,676.5580538123406,47.2312335,-1.4634558
287,0.0,140.01006241471288,51.43345,6.20272
297,0.0,6.202402996399499,52.04794,4.42109
309,0.0,144.92622749102625,51.412771,6.2653927
310,0.0,8.957949403053124,52.0130715,4.5132233
338,0.0,10.768804620736406,52.0328922,4.5310597
337,0.0,10.759697576570138,52.0328883,4.5309188
339,0.0,10.775839953952973,52.0328295,4.5312113
340,0.0,10.772319320947624,52.0327876,4.5311831
341,0.0,10.793631538844119,52.0328501,4.531478
342,0.0,10.78588218483327,52.0327905,4.5313947
